(a^5),(b*k(5)*(a^4)),(c*k(5)*(a^4)),(k(10)*(a^3)*(b^2)),(2*b*c*k(5)*(a^3)),(k(10)*(a^3)*(c^2)),(k(10)*(a^2)*(b^3)),(c*k(30)*(a^2)*(b^2)),(b*k(30)*(a^2)*(c^2)),(k(10)*(a^2)*(c^3)),(a*k(5)*(b^4)),(2*a*c*k(5)*(b^3)),(a*k(30)*(b^2)*(c^2)),(2*a*b*k(5)*(c^3)),(a*k(5)*(c^4)),(b^5),(c*k(5)*(b^4)),(k(10)*(b^3)*(c^2)),(k(10)*(b^2)*(c^3)),(b*k(5)*(c^4)),(c^5)
(d*k(5)*(a^4)),((e*(a^4))+(4*b*d*(a^3))),((f*(a^4))+(4*c*d*(a^3))),(1/10*k(2)*((20*b*e*(a^3))+(30*d*(a^2)*(b^2)))),((2*b*f*(a^3))+(2*c*e*(a^3))+(6*b*c*d*(a^2))),(1/10*k(2)*((20*c*f*(a^3))+(30*d*(a^2)*(c^2)))),(1/10*k(2)*((20*a*d*(b^3))+(30*e*(a^2)*(b^2)))),(1/30*k(6)*((30*f*(a^2)*(b^2))+(60*a*c*d*(b^2))+(60*b*c*e*(a^2)))),(1/30*k(6)*((30*e*(a^2)*(c^2))+(60*a*b*d*(c^2))+(60*b*c*f*(a^2)))),(1/10*k(2)*((20*a*d*(c^3))+(30*f*(a^2)*(c^2)))),((d*(b^4))+(4*a*e*(b^3))),((2*a*f*(b^3))+(2*c*d*(b^3))+(6*a*c*e*(b^2))),(1/30*k(6)*((30*d*(b^2)*(c^2))+(60*a*b*e*(c^2))+(60*a*c*f*(b^2)))),((2*a*e*(c^3))+(2*b*d*(c^3))+(6*a*b*f*(c^2))),((d*(c^4))+(4*a*f*(c^3))),(e*k(5)*(b^4)),((f*(b^4))+(4*c*e*(b^3))),(1/10*k(2)*((20*c*f*(b^3))+(30*e*(b^2)*(c^2)))),(1/10*k(2)*((20*b*e*(c^3))+(30*f*(b^2)*(c^2)))),((e*(c^4))+(4*b*f*(c^3))),(f*k(5)*(c^4))
(g*k(5)*(a^4)),((h*(a^4))+(4*b*g*(a^3))),((i*(a^4))+(4*c*g*(a^3))),(1/10*k(2)*((20*b*h*(a^3))+(30*g*(a^2)*(b^2)))),((2*b*i*(a^3))+(2*c*h*(a^3))+(6*b*c*g*(a^2))),(1/10*k(2)*((20*c*i*(a^3))+(30*g*(a^2)*(c^2)))),(1/10*k(2)*((20*a*g*(b^3))+(30*h*(a^2)*(b^2)))),(1/30*k(6)*((30*i*(a^2)*(b^2))+(60*a*c*g*(b^2))+(60*b*c*h*(a^2)))),(1/30*k(6)*((30*h*(a^2)*(c^2))+(60*a*b*g*(c^2))+(60*b*c*i*(a^2)))),(1/10*k(2)*((20*a*g*(c^3))+(30*i*(a^2)*(c^2)))),((g*(b^4))+(4*a*h*(b^3))),((2*a*i*(b^3))+(2*c*g*(b^3))+(6*a*c*h*(b^2))),(1/30*k(6)*((30*g*(b^2)*(c^2))+(60*a*b*h*(c^2))+(60*a*c*i*(b^2)))),((2*a*h*(c^3))+(2*b*g*(c^3))+(6*a*b*i*(c^2))),((g*(c^4))+(4*a*i*(c^3))),(h*k(5)*(b^4)),((i*(b^4))+(4*c*h*(b^3))),(1/10*k(2)*((20*c*i*(b^3))+(30*h*(b^2)*(c^2)))),(1/10*k(2)*((20*b*h*(c^3))+(30*i*(b^2)*(c^2)))),((h*(c^4))+(4*b*i*(c^3))),(i*k(5)*(c^4))
(k(10)*(a^3)*(d^2)),(1/10*k(2)*((20*d*e*(a^3))+(30*b*(a^2)*(d^2)))),(1/10*k(2)*((20*d*f*(a^3))+(30*c*(a^2)*(d^2)))),(((a^3)*(e^2))+(3*a*(b^2)*(d^2))+(6*b*d*e*(a^2))),(1/20*k(2)*((20*e*f*(a^3))+(60*a*b*c*(d^2))+(60*b*d*f*(a^2))+(60*c*d*e*(a^2)))),(((a^3)*(f^2))+(3*a*(c^2)*(d^2))+(6*c*d*f*(a^2))),(((b^3)*(d^2))+(3*b*(a^2)*(e^2))+(6*a*d*e*(b^2))),(1/30*k(3)*((30*c*(a^2)*(e^2))+(30*c*(b^2)*(d^2))+(60*a*d*f*(b^2))+(60*b*e*f*(a^2))+(120*a*b*c*d*e))),(1/30*k(3)*((30*b*(a^2)*(f^2))+(30*b*(c^2)*(d^2))+(60*a*d*e*(c^2))+(60*c*e*f*(a^2))+(120*a*b*c*d*f))),(((c^3)*(d^2))+(3*c*(a^2)*(f^2))+(6*a*d*f*(c^2))),(1/10*k(2)*((20*d*e*(b^3))+(30*a*(b^2)*(e^2)))),(1/20*k(2)*((20*d*f*(b^3))+(60*a*b*c*(e^2))+(60*a*e*f*(b^2))+(60*c*d*e*(b^2)))),(1/30*k(3)*((30*a*(b^2)*(f^2))+(30*a*(c^2)*(e^2))+(60*b*d*e*(c^2))+(60*c*d*f*(b^2))+(120*a*b*c*e*f))),(1/20*k(2)*((20*d*e*(c^3))+(60*a*b*c*(f^2))+(60*a*e*f*(c^2))+(60*b*d*f*(c^2)))),(1/10*k(2)*((20*d*f*(c^3))+(30*a*(c^2)*(f^2)))),(k(10)*(b^3)*(e^2)),(1/10*k(2)*((20*e*f*(b^3))+(30*c*(b^2)*(e^2)))),(((b^3)*(f^2))+(3*b*(c^2)*(e^2))+(6*c*e*f*(b^2))),(((c^3)*(e^2))+(3*c*(b^2)*(f^2))+(6*b*e*f*(c^2))),(1/10*k(2)*((20*e*f*(c^3))+(30*b*(c^2)*(f^2)))),(k(10)*(c^3)*(f^2))
(2*d*g*k(5)*(a^3)),((2*d*h*(a^3))+(2*e*g*(a^3))+(6*b*d*g*(a^2))),((2*d*i*(a^3))+(2*f*g*(a^3))+(6*c*d*g*(a^2))),(1/20*k(2)*((20*e*h*(a^3))+(60*a*d*g*(b^2))+(60*b*d*h*(a^2))+(60*b*e*g*(a^2)))),((e*i*(a^3))+(f*h*(a^3))+(3*b*d*i*(a^2))+(3*b*f*g*(a^2))+(3*c*d*h*(a^2))+(3*c*e*g*(a^2))+(6*a*b*c*d*g)),(1/20*k(2)*((20*f*i*(a^3))+(60*a*d*g*(c^2))+(60*c*d*i*(a^2))+(60*c*f*g*(a^2)))),(1/20*k(2)*((20*d*g*(b^3))+(60*a*d*h*(b^2))+(60*a*e*g*(b^2))+(60*b*e*h*(a^2)))),(1/60*k(6)*((60*a*d*i*(b^2))+(60*a*f*g*(b^2))+(60*b*e*i*(a^2))+(60*b*f*h*(a^2))+(60*c*d*g*(b^2))+(60*c*e*h*(a^2))+(120*a*b*c*d*h)+(120*a*b*c*e*g))),(1/60*k(6)*((60*a*d*h*(c^2))+(60*a*e*g*(c^2))+(60*b*d*g*(c^2))+(60*b*f*i*(a^2))+(60*c*e*i*(a^2))+(60*c*f*h*(a^2))+(120*a*b*c*d*i)+(120*a*b*c*f*g))),(1/20*k(2)*((20*d*g*(c^3))+(60*a*d*i*(c^2))+(60*a*f*g*(c^2))+(60*c*f*i*(a^2)))),((2*d*h*(b^3))+(2*e*g*(b^3))+(6*a*e*h*(b^2))),((d*i*(b^3))+(f*g*(b^3))+(3*a*e*i*(b^2))+(3*a*f*h*(b^2))+(3*c*d*h*(b^2))+(3*c*e*g*(b^2))+(6*a*b*c*e*h)),(1/60*k(6)*((60*a*e*h*(c^2))+(60*a*f*i*(b^2))+(60*b*d*h*(c^2))+(60*b*e*g*(c^2))+(60*c*d*i*(b^2))+(60*c*f*g*(b^2))+(120*a*b*c*e*i)+(120*a*b*c*f*h))),((d*h*(c^3))+(e*g*(c^3))+(3*a*e*i*(c^2))+(3*a*f*h*(c^2))+(3*b*d*i*(c^2))+(3*b*f*g*(c^2))+(6*a*b*c*f*i)),((2*d*i*(c^3))+(2*f*g*(c^3))+(6*a*f*i*(c^2))),(2*e*h*k(5)*(b^3)),((2*e*i*(b^3))+(2*f*h*(b^3))+(6*c*e*h*(b^2))),(1/20*k(2)*((20*f*i*(b^3))+(60*b*e*h*(c^2))+(60*c*e*i*(b^2))+(60*c*f*h*(b^2)))),(1/20*k(2)*((20*e*h*(c^3))+(60*b*e*i*(c^2))+(60*b*f*h*(c^2))+(60*c*f*i*(b^2)))),((2*e*i*(c^3))+(2*f*h*(c^3))+(6*b*f*i*(c^2))),(2*f*i*k(5)*(c^3))
(k(10)*(a^3)*(g^2)),(1/10*k(2)*((20*g*h*(a^3))+(30*b*(a^2)*(g^2)))),(1/10*k(2)*((20*g*i*(a^3))+(30*c*(a^2)*(g^2)))),(((a^3)*(h^2))+(3*a*(b^2)*(g^2))+(6*b*g*h*(a^2))),(1/20*k(2)*((20*h*i*(a^3))+(60*a*b*c*(g^2))+(60*b*g*i*(a^2))+(60*c*g*h*(a^2)))),(((a^3)*(i^2))+(3*a*(c^2)*(g^2))+(6*c*g*i*(a^2))),(((b^3)*(g^2))+(3*b*(a^2)*(h^2))+(6*a*g*h*(b^2))),(1/30*k(3)*((30*c*(a^2)*(h^2))+(30*c*(b^2)*(g^2))+(60*a*g*i*(b^2))+(60*b*h*i*(a^2))+(120*a*b*c*g*h))),(1/30*k(3)*((30*b*(a^2)*(i^2))+(30*b*(c^2)*(g^2))+(60*a*g*h*(c^2))+(60*c*h*i*(a^2))+(120*a*b*c*g*i))),(((c^3)*(g^2))+(3*c*(a^2)*(i^2))+(6*a*g*i*(c^2))),(1/10*k(2)*((20*g*h*(b^3))+(30*a*(b^2)*(h^2)))),(1/20*k(2)*((20*g*i*(b^3))+(60*a*b*c*(h^2))+(60*a*h*i*(b^2))+(60*c*g*h*(b^2)))),(1/30*k(3)*((30*a*(b^2)*(i^2))+(30*a*(c^2)*(h^2))+(60*b*g*h*(c^2))+(60*c*g*i*(b^2))+(120*a*b*c*h*i))),(1/20*k(2)*((20*g*h*(c^3))+(60*a*b*c*(i^2))+(60*a*h*i*(c^2))+(60*b*g*i*(c^2)))),(1/10*k(2)*((20*g*i*(c^3))+(30*a*(c^2)*(i^2)))),(k(10)*(b^3)*(h^2)),(1/10*k(2)*((20*h*i*(b^3))+(30*c*(b^2)*(h^2)))),(((b^3)*(i^2))+(3*b*(c^2)*(h^2))+(6*c*h*i*(b^2))),(((c^3)*(h^2))+(3*c*(b^2)*(i^2))+(6*b*h*i*(c^2))),(1/10*k(2)*((20*h*i*(c^3))+(30*b*(c^2)*(i^2)))),(k(10)*(c^3)*(i^2))
(k(10)*(a^2)*(d^3)),(1/10*k(2)*((20*a*b*(d^3))+(30*e*(a^2)*(d^2)))),(1/10*k(2)*((20*a*c*(d^3))+(30*f*(a^2)*(d^2)))),(((b^2)*(d^3))+(3*d*(a^2)*(e^2))+(6*a*b*e*(d^2))),(1/20*k(2)*((20*b*c*(d^3))+(60*a*b*f*(d^2))+(60*a*c*e*(d^2))+(60*d*e*f*(a^2)))),(((c^2)*(d^3))+(3*d*(a^2)*(f^2))+(6*a*c*f*(d^2))),(((a^2)*(e^3))+(3*e*(b^2)*(d^2))+(6*a*b*d*(e^2))),(1/30*k(3)*((30*f*(a^2)*(e^2))+(30*f*(b^2)*(d^2))+(60*a*c*d*(e^2))+(60*b*c*e*(d^2))+(120*a*b*d*e*f))),(1/30*k(3)*((30*e*(a^2)*(f^2))+(30*e*(c^2)*(d^2))+(60*a*b*d*(f^2))+(60*b*c*f*(d^2))+(120*a*c*d*e*f))),(((a^2)*(f^3))+(3*f*(c^2)*(d^2))+(6*a*c*d*(f^2))),(1/10*k(2)*((20*a*b*(e^3))+(30*d*(b^2)*(e^2)))),(1/20*k(2)*((20*a*c*(e^3))+(60*a*b*f*(e^2))+(60*b*c*d*(e^2))+(60*d*e*f*(b^2)))),(1/30*k(3)*((30*d*(b^2)*(f^2))+(30*d*(c^2)*(e^2))+(60*a*b*e*(f^2))+(60*a*c*f*(e^2))+(120*b*c*d*e*f))),(1/20*k(2)*((20*a*b*(f^3))+(60*a*c*e*(f^2))+(60*b*c*d*(f^2))+(60*d*e*f*(c^2)))),(1/10*k(2)*((20*a*c*(f^3))+(30*d*(c^2)*(f^2)))),(k(10)*(b^2)*(e^3)),(1/10*k(2)*((20*b*c*(e^3))+(30*f*(b^2)*(e^2)))),(((c^2)*(e^3))+(3*e*(b^2)*(f^2))+(6*b*c*f*(e^2))),(((b^2)*(f^3))+(3*f*(c^2)*(e^2))+(6*b*c*e*(f^2))),(1/10*k(2)*((20*b*c*(f^3))+(30*e*(c^2)*(f^2)))),(k(10)*(c^2)*(f^3))
(g*k(30)*(a^2)*(d^2)),(1/30*k(6)*((30*h*(a^2)*(d^2))+(60*a*b*g*(d^2))+(60*d*e*g*(a^2)))),(1/30*k(6)*((30*i*(a^2)*(d^2))+(60*a*c*g*(d^2))+(60*d*f*g*(a^2)))),(1/30*k(3)*((30*g*(a^2)*(e^2))+(30*g*(b^2)*(d^2))+(60*a*b*h*(d^2))+(60*d*e*h*(a^2))+(120*a*b*d*e*g))),(1/60*k(6)*((60*a*b*i*(d^2))+(60*a*c*h*(d^2))+(60*b*c*g*(d^2))+(60*d*e*i*(a^2))+(60*d*f*h*(a^2))+(60*e*f*g*(a^2))+(120*a*b*d*f*g)+(120*a*c*d*e*g))),(1/30*k(3)*((30*g*(a^2)*(f^2))+(30*g*(c^2)*(d^2))+(60*a*c*i*(d^2))+(60*d*f*i*(a^2))+(120*a*c*d*f*g))),(1/30*k(3)*((30*h*(a^2)*(e^2))+(30*h*(b^2)*(d^2))+(60*a*b*g*(e^2))+(60*d*e*g*(b^2))+(120*a*b*d*e*h))),((i*(a^2)*(e^2))+(i*(b^2)*(d^2))+(2*a*c*g*(e^2))+(2*b*c*h*(d^2))+(2*d*f*g*(b^2))+(2*e*f*h*(a^2))+(4*a*b*d*e*i)+(4*a*b*d*f*h)+(4*a*b*e*f*g)+(4*a*c*d*e*h)+(4*b*c*d*e*g)),((h*(a^2)*(f^2))+(h*(c^2)*(d^2))+(2*a*b*g*(f^2))+(2*b*c*i*(d^2))+(2*d*e*g*(c^2))+(2*e*f*i*(a^2))+(4*a*b*d*f*i)+(4*a*c*d*e*i)+(4*a*c*d*f*h)+(4*a*c*e*f*g)+(4*b*c*d*f*g)),(1/30*k(3)*((30*i*(a^2)*(f^2))+(30*i*(c^2)*(d^2))+(60*a*c*g*(f^2))+(60*d*f*g*(c^2))+(120*a*c*d*f*i))),(1/30*k(6)*((30*g*(b^2)*(e^2))+(60*a*b*h*(e^2))+(60*d*e*h*(b^2)))),(1/60*k(6)*((60*a*b*i*(e^2))+(60*a*c*h*(e^2))+(60*b*c*g*(e^2))+(60*d*e*i*(b^2))+(60*d*f*h*(b^2))+(60*e*f*g*(b^2))+(120*a*b*e*f*h)+(120*b*c*d*e*h))),((g*(b^2)*(f^2))+(g*(c^2)*(e^2))+(2*a*b*h*(f^2))+(2*a*c*i*(e^2))+(2*d*e*h*(c^2))+(2*d*f*i*(b^2))+(4*a*b*e*f*i)+(4*a*c*e*f*h)+(4*b*c*d*e*i)+(4*b*c*d*f*h)+(4*b*c*e*f*g)),(1/60*k(6)*((60*a*b*i*(f^2))+(60*a*c*h*(f^2))+(60*b*c*g*(f^2))+(60*d*e*i*(c^2))+(60*d*f*h*(c^2))+(60*e*f*g*(c^2))+(120*a*c*e*f*i)+(120*b*c*d*f*i))),(1/30*k(6)*((30*g*(c^2)*(f^2))+(60*a*c*i*(f^2))+(60*d*f*i*(c^2)))),(h*k(30)*(b^2)*(e^2)),(1/30*k(6)*((30*i*(b^2)*(e^2))+(60*b*c*h*(e^2))+(60*e*f*h*(b^2)))),(1/30*k(3)*((30*h*(b^2)*(f^2))+(30*h*(c^2)*(e^2))+(60*b*c*i*(e^2))+(60*e*f*i*(b^2))+(120*b*c*e*f*h))),(1/30*k(3)*((30*i*(b^2)*(f^2))+(30*i*(c^2)*(e^2))+(60*b*c*h*(f^2))+(60*e*f*h*(c^2))+(120*b*c*e*f*i))),(1/30*k(6)*((30*h*(c^2)*(f^2))+(60*b*c*i*(f^2))+(60*e*f*i*(c^2)))),(i*k(30)*(c^2)*(f^2))
(d*k(30)*(a^2)*(g^2)),(1/30*k(6)*((30*e*(a^2)*(g^2))+(60*a*b*d*(g^2))+(60*d*g*h*(a^2)))),(1/30*k(6)*((30*f*(a^2)*(g^2))+(60*a*c*d*(g^2))+(60*d*g*i*(a^2)))),(1/30*k(3)*((30*d*(a^2)*(h^2))+(30*d*(b^2)*(g^2))+(60*a*b*e*(g^2))+(60*e*g*h*(a^2))+(120*a*b*d*g*h))),(1/60*k(6)*((60*a*b*f*(g^2))+(60*a*c*e*(g^2))+(60*b*c*d*(g^2))+(60*d*h*i*(a^2))+(60*e*g*i*(a^2))+(60*f*g*h*(a^2))+(120*a*b*d*g*i)+(120*a*c*d*g*h))),(1/30*k(3)*((30*d*(a^2)*(i^2))+(30*d*(c^2)*(g^2))+(60*a*c*f*(g^2))+(60*f*g*i*(a^2))+(120*a*c*d*g*i))),(1/30*k(3)*((30*e*(a^2)*(h^2))+(30*e*(b^2)*(g^2))+(60*a*b*d*(h^2))+(60*d*g*h*(b^2))+(120*a*b*e*g*h))),((f*(a^2)*(h^2))+(f*(b^2)*(g^2))+(2*a*c*d*(h^2))+(2*b*c*e*(g^2))+(2*d*g*i*(b^2))+(2*e*h*i*(a^2))+(4*a*b*d*h*i)+(4*a*b*e*g*i)+(4*a*b*f*g*h)+(4*a*c*e*g*h)+(4*b*c*d*g*h)),((e*(a^2)*(i^2))+(e*(c^2)*(g^2))+(2*a*b*d*(i^2))+(2*b*c*f*(g^2))+(2*d*g*h*(c^2))+(2*f*h*i*(a^2))+(4*a*b*f*g*i)+(4*a*c*d*h*i)+(4*a*c*e*g*i)+(4*a*c*f*g*h)+(4*b*c*d*g*i)),(1/30*k(3)*((30*f*(a^2)*(i^2))+(30*f*(c^2)*(g^2))+(60*a*c*d*(i^2))+(60*d*g*i*(c^2))+(120*a*c*f*g*i))),(1/30*k(6)*((30*d*(b^2)*(h^2))+(60*a*b*e*(h^2))+(60*e*g*h*(b^2)))),(1/60*k(6)*((60*a*b*f*(h^2))+(60*a*c*e*(h^2))+(60*b*c*d*(h^2))+(60*d*h*i*(b^2))+(60*e*g*i*(b^2))+(60*f*g*h*(b^2))+(120*a*b*e*h*i)+(120*b*c*e*g*h))),((d*(b^2)*(i^2))+(d*(c^2)*(h^2))+(2*a*b*e*(i^2))+(2*a*c*f*(h^2))+(2*e*g*h*(c^2))+(2*f*g*i*(b^2))+(4*a*b*f*h*i)+(4*a*c*e*h*i)+(4*b*c*d*h*i)+(4*b*c*e*g*i)+(4*b*c*f*g*h)),(1/60*k(6)*((60*a*b*f*(i^2))+(60*a*c*e*(i^2))+(60*b*c*d*(i^2))+(60*d*h*i*(c^2))+(60*e*g*i*(c^2))+(60*f*g*h*(c^2))+(120*a*c*f*h*i)+(120*b*c*f*g*i))),(1/30*k(6)*((30*d*(c^2)*(i^2))+(60*a*c*f*(i^2))+(60*f*g*i*(c^2)))),(e*k(30)*(b^2)*(h^2)),(1/30*k(6)*((30*f*(b^2)*(h^2))+(60*b*c*e*(h^2))+(60*e*h*i*(b^2)))),(1/30*k(3)*((30*e*(b^2)*(i^2))+(30*e*(c^2)*(h^2))+(60*b*c*f*(h^2))+(60*f*h*i*(b^2))+(120*b*c*e*h*i))),(1/30*k(3)*((30*f*(b^2)*(i^2))+(30*f*(c^2)*(h^2))+(60*b*c*e*(i^2))+(60*e*h*i*(c^2))+(120*b*c*f*h*i))),(1/30*k(6)*((30*e*(c^2)*(i^2))+(60*b*c*f*(i^2))+(60*f*h*i*(c^2)))),(f*k(30)*(c^2)*(i^2))
